10/​(1+​e^​(‑1(x-​5)))+8,10/​(1+​e^​(1​(x-​5)))+8
10/​(1+​e^​(‑1(x-​5)))+1,10/​(1+​e^​(1​(x-​5)))+1
10/​(1+​e^​(‑1(x-​5)))+6,10/​(1+​e^​(1​(x-​5)))+6
10/​(1+​e^​(‑1(x-​5)))+10,10/​(1+​e^​(1​(x-​5)))+10
10/​(1+​e^​(‑1(x-​5)))+5,10/​(1+​e^​(1​(x-​5)))+5
10/​(1+​e^​(‑1(x-​7)))+2,10/​(1+​e^​(1​(x-​7)))+2
10/​(1+​e^​(‑1(x-​4)))+8,10/​(1+​e^​(1​(x-​4)))+8
10/​(1+​e^​(‑1(x-​3)))+9,10/​(1+​e^​(1​(x-​3)))+9
10/​(1+​e^​(‑1(x-​6)))+10,10/​(1+​e^​(1​(x-​6)))+10
10/​(1+​e^​(‑1(x-​6)))+6,10/​(1+​e^​(1​(x-​6)))+6
10/​(1+​e^​(‑1(x-​5)))+1,10/​(1+​e^​(1​(x-​5)))+1
10/​(1+​e^​(‑1(x-​7)))+3,10/​(1+​e^​(1​(x-​7)))+3
10/​(1+​e^​(‑1(x-​3)))+0,10/​(1+​e^​(1​(x-​3)))+0
10/​(1+​e^​(‑1(x-​5)))+2,10/​(1+​e^​(1​(x-​5)))+2
10/​(1+​e^​(‑1(x-​6)))+3,10/​(1+​e^​(1​(x-​6)))+3
10/​(1+​e^​(‑1(x-​5)))+1,10/​(1+​e^​(1​(x-​5)))+1
10/​(1+​e^​(‑1(x-​5)))+10,10/​(1+​e^​(1​(x-​5)))+10
10/​(1+​e^​(‑1(x-​4)))+10,10/​(1+​e^​(1​(x-​4)))+10
10/​(1+​e^​(‑1(x-​3)))+0,10/​(1+​e^​(1​(x-​3)))+0
10/​(1+​e^​(‑1(x-​5)))+8,10/​(1+​e^​(1​(x-​5)))+8
10/​(1+​e^​(‑1(x-​7)))+9,10/​(1+​e^​(1​(x-​7)))+9
10/​(1+​e^​(‑1(x-​7)))+3,10/​(1+​e^​(1​(x-​7)))+3
10/​(1+​e^​(‑1(x-​7)))+7,10/​(1+​e^​(1​(x-​7)))+7
10/​(1+​e^​(‑1(x-​7)))+9,10/​(1+​e^​(1​(x-​7)))+9
10/​(1+​e^​(‑1(x-​4)))+1,10/​(1+​e^​(1​(x-​4)))+1
10/​(1+​e^​(‑1(x-​6)))+2,10/​(1+​e^​(1​(x-​6)))+2
10/​(1+​e^​(‑1(x-​6)))+6,10/​(1+​e^​(1​(x-​6)))+6
10/​(1+​e^​(‑1(x-​4)))+4,10/​(1+​e^​(1​(x-​4)))+4
10/​(1+​e^​(‑1(x-​5)))+9,10/​(1+​e^​(1​(x-​5)))+9
10/​(1+​e^​(‑1(x-​6)))+10,10/​(1+​e^​(1​(x-​6)))+10
10/​(1+​e^​(‑1(x-​5)))+8,10/​(1+​e^​(1​(x-​5)))+8
10/​(1+​e^​(‑1(x-​6)))+0,10/​(1+​e^​(1​(x-​6)))+0
10/​(1+​e^​(‑1(x-​7)))+8,10/​(1+​e^​(1​(x-​7)))+8
10/​(1+​e^​(‑1(x-​6)))+3,10/​(1+​e^​(1​(x-​6)))+3
10/​(1+​e^​(‑1(x-​4)))+6,10/​(1+​e^​(1​(x-​4)))+6
10/​(1+​e^​(‑1(x-​5)))+0,10/​(1+​e^​(1​(x-​5)))+0
10/​(1+​e^​(‑1(x-​5)))+5,10/​(1+​e^​(1​(x-​5)))+5
10/​(1+​e^​(‑1(x-​5)))+6,10/​(1+​e^​(1​(x-​5)))+6
10/​(1+​e^​(‑1(x-​4)))+1,10/​(1+​e^​(1​(x-​4)))+1
10/​(1+​e^​(‑1(x-​6)))+0,10/​(1+​e^​(1​(x-​6)))+0
10/​(1+​e^​(‑1(x-​3)))+2,10/​(1+​e^​(1​(x-​3)))+2
10/​(1+​e^​(‑1(x-​5)))+0,10/​(1+​e^​(1​(x-​5)))+0
10/​(1+​e^​(‑1(x-​7)))+6,10/​(1+​e^​(1​(x-​7)))+6
10/​(1+​e^​(‑1(x-​6)))+2,10/​(1+​e^​(1​(x-​6)))+2
10/​(1+​e^​(‑1(x-​5)))+6,10/​(1+​e^​(1​(x-​5)))+6
10/​(1+​e^​(‑1(x-​7)))+6,10/​(1+​e^​(1​(x-​7)))+6
10/​(1+​e^​(‑1(x-​5)))+2,10/​(1+​e^​(1​(x-​5)))+2
10/​(1+​e^​(‑1(x-​5)))+6,10/​(1+​e^​(1​(x-​5)))+6
10/​(1+​e^​(‑1(x-​6)))+7,10/​(1+​e^​(1​(x-​6)))+7
10/​(1+​e^​(‑1(x-​5)))+1,10/​(1+​e^​(1​(x-​5)))+1
10/​(1+​e^​(‑1(x-​3)))+8,10/​(1+​e^​(1​(x-​3)))+8
10/​(1+​e^​(‑1(x-​6)))+1,10/​(1+​e^​(1​(x-​6)))+1
10/​(1+​e^​(‑1(x-​6)))+7,10/​(1+​e^​(1​(x-​6)))+7
10/​(1+​e^​(‑1(x-​4)))+7,10/​(1+​e^​(1​(x-​4)))+7
10/​(1+​e^​(‑1(x-​4)))+3,10/​(1+​e^​(1​(x-​4)))+3
10/​(1+​e^​(‑1(x-​3)))+4,10/​(1+​e^​(1​(x-​3)))+4
10/​(1+​e^​(‑1(x-​6)))+9,10/​(1+​e^​(1​(x-​6)))+9
